date,abs_pct_error
2024-07-08,4.259202211877822
2024-07-09,4.923922143349949
2024-07-10,5.468663055316527
2024-07-11,3.003891713866486
2024-07-12,6.496402936418812
2024-07-13,9.30341119639415
2024-07-14,7.078057183364337
2024-07-15,4.582864577004304
2024-07-16,2.6179015054841517
2024-07-17,5.0832908807205595
2024-07-18,3.7997708122031564
2024-07-19,4.841215582331268
2024-07-20,8.05144422513913
2024-07-21,4.576849278660725
2024-07-22,4.972186782653573
2024-07-23,2.138731481947929
2024-07-24,4.534303393128159
2024-07-25,3.6154794697641095
2024-07-26,2.7442797868978897
2024-07-27,3.082675401017905
2024-07-28,6.1589395847298025
2024-07-29,6.2404417935409855
2024-07-30,2.4003673353468304
2024-07-31,2.781484384427661
2024-08-01,1.6266460211245666
2024-08-02,4.920817585773324
2024-08-03,3.3952156833992047
2024-08-04,3.0409015703278306
2024-08-05,3.901216006934512
2024-08-06,2.790447017361588
2024-08-07,4.120439587618299
2024-08-08,3.7407406440055198
2024-08-09,3.4879273415341436
2024-08-10,6.6561069959278445
2024-08-11,4.664484263876814
2024-08-12,3.3853182874819843
2024-08-13,3.183042438639646
2024-08-14,5.262193054885154
2024-08-15,4.659454754658881
2024-08-16,3.221010357581223
2024-08-17,3.877571099218365
2024-08-18,4.963934459818775
2024-08-19,2.5905136791343915
2024-08-20,5.6074477580291955
2024-08-21,7.674145268944398
2024-08-22,3.2075999698946616
2024-08-23,3.938583746323449
2024-08-24,3.424627834211839
2024-08-25,7.494631686616325
2024-08-26,4.324177769734952
2024-08-27,5.623442062770198
2024-08-28,5.154870211726534
2024-08-29,3.3884461945997173
2024-08-30,3.7389077539283977
2024-08-31,4.245974628384184
2024-09-01,3.3433368844090885
2024-09-02,2.8717580885195146
2024-09-03,2.7581139073790664
2024-09-04,5.0050543010577595
2024-09-05,4.891168145222564
2024-09-06,3.4046507420237098
2024-09-07,2.903841630924903
2024-09-08,3.609992146249784
2024-09-09,5.100832394515216
2024-09-10,4.1289942813918
2024-09-11,4.593966388678583
2024-09-12,3.276586032384745
2024-09-13,4.197134378003577
2024-09-14,6.1026928601151145
2024-09-15,4.348743329167227
2024-09-16,5.192047831251841
2024-09-17,6.595285126803288
2024-09-18,6.122156340456159
2024-09-19,2.996071063688012
2024-09-20,2.126949896925647
2024-09-21,1.8006272950347446
2024-09-22,3.4178279849428645
2024-09-23,3.043714167827308
2024-09-24,2.029361399263213
2024-09-25,3.5677713442248273
2024-09-26,6.333302028819084
2024-09-27,5.773003706585049
2024-09-28,5.082941921422054
2024-09-29,5.428048342247075
2024-09-30,4.691680749423996
2024-10-01,3.6490478129226616
2024-10-02,3.5427725100180463
2024-10-03,4.28704572363349
2024-10-04,5.072128494146282
2024-10-05,5.730015521380114
2024-10-06,4.747978601318395
2024-10-07,5.000524038112358
2024-10-08,6.077681207784025
2024-10-09,5.737225090256232
2024-10-10,3.6065481920485802
2024-10-11,4.019555747134819
2024-10-12,5.030419637136943
2024-10-13,3.798697122735275
2024-10-14,2.761327485666888
2024-10-15,3.658453627921441
2024-10-16,6.848224428533496
2024-10-17,5.413424939480286
2024-10-18,3.350323806956014
2024-10-19,2.636707555019648
2024-10-20,4.627572822206347
2024-10-21,5.157695191141435
2024-10-22,4.453954520841476
2024-10-23,3.1751378761759383
2024-10-24,4.911763106422735
2024-10-25,4.846922981521386
2024-10-26,13.011552942145357
2024-10-27,3.885830465857952
2024-10-28,3.86511856323934
2024-10-29,14.966580266293485
2024-10-30,18.067264773733267
2024-10-31,12.125805211873143
2024-11-01,5.011882906716111
2024-11-02,18.355472843643515
2024-11-03,17.300097035356142
2024-11-04,11.629568924788508
2024-11-05,12.070973579471676
2024-11-06,10.440660221765734
2024-11-07,8.127851663535978
2024-11-08,9.983432911815287
2024-11-09,16.01206537165578
2024-11-10,15.367125396088987
2024-11-11,11.28171912789624
2024-11-12,7.9264358247622635
2024-11-13,5.803682204816724
2024-11-14,5.011937142136318
2024-11-15,2.1601372562069523
2024-11-16,3.1312804735968576
2024-11-17,2.3602828671822937
2024-11-18,3.1662430281242333
2024-11-19,2.696438415629382
2024-11-20,3.098307611156832
2024-11-21,2.800541283553758
2024-11-22,1.7643153476458926
2024-11-23,1.5309915897854987
2024-11-24,3.3898912101301573
2024-11-25,3.442208786041233
2024-11-26,2.792541798722166
2024-11-27,4.8557499987124695
2024-11-28,3.8191976823636633
2024-11-29,4.032339610770277
2024-11-30,5.070115266344185
2024-12-01,2.1075070944677967
2024-12-02,4.878258666413679
2024-12-03,3.241415399279908
2024-12-04,6.247050859947436
2024-12-05,3.4120219589937153
2024-12-06,1.8398209052501717
2024-12-07,1.7934266073500948
2024-12-08,3.8274687416552537
2024-12-09,1.8794782363820155
2024-12-10,3.4410337767268864
2024-12-11,4.11979762178349
2024-12-12,3.7667460180358874
2024-12-13,4.281615960762166
2024-12-14,4.907063674243545
2024-12-15,2.2317929526284463
2024-12-16,2.9796098910936153
2024-12-17,3.2000533478879887
2024-12-18,2.2822965316643953
2024-12-19,3.5800842667704122
2024-12-20,2.963606759294141
2024-12-21,4.11629073363036
2024-12-22,5.443733513627025
2024-12-23,3.764136678423498
2024-12-24,2.093203397511449
2024-12-25,3.0504292725010886
2024-12-26,2.0695870957972566
2024-12-27,3.013392618125666
2024-12-28,6.565302201479657
2024-12-29,3.6674160466445804
2024-12-30,3.8354876042043644
